ItemID,ItemName_CN,ItemName_EN,ItemType,Description_CN,Description_EN,IconPath,IsCollectable,IsUsable,SymbolicMeaning_CN,SymbolicMeaning_EN
ITEM_C2_001,向日葵种子,Sunflower Seed,Seed,金色的向日葵种子，温暖而明亮。,A golden sunflower seed warm and bright.,/Game/Art/Items/C2/Seed_Sunflower.png,TRUE,TRUE,温暖与关怀，像阳光照亮生活。,Warmth and care like sunlight illuminating life.
ITEM_C2_002,睡莲种子,Water Lily Seed,Seed,蓝色的睡莲种子，宁静而柔和。,A blue water lily seed calm and gentle.,/Game/Art/Items/C2/Seed_WaterLily.png,TRUE,TRUE,日常的陪伴，像水滋润植物。,Daily companionship like water nourishing plants.
ITEM_C2_003,月见草种子,Moonflower Seed,Seed,紫色的月见草种子，神秘而优雅。,A purple moonflower seed mysterious and elegant.,/Game/Art/Items/C2/Seed_Moonflower.png,TRUE,TRUE,耐心的等待，有些美好需要时间。,Patient waiting some beauty needs time.
ITEM_C2_004,蔷薇种子,Rose Seed,Seed,粉红色的蔷薇种子，独立而坚韧。,A pink rose seed independent and resilient.,/Game/Art/Items/C2/Seed_Rose.png,TRUE,TRUE,独立的空间，分离是为了更好的生长。,Independent space separation for better growth.
ITEM_C2_005,浇水壶,Watering Can,Tool,一把精致的浇水壶，用于给植物浇水。,An exquisite watering can for watering plants.,/Game/Art/Items/C2/WateringCan.png,TRUE,TRUE,滋养与陪伴，日常的关怀。,Nourishment and companionship daily care.
ITEM_C2_006,安吉日记,Anji Diary,Document,记录安吉之行的日记，讲述分离与重逢的故事。,A diary recording the Anji trip telling the story of separation and reunion.,/Game/Art/Items/C2/Diary_Anji.png,FALSE,TRUE,分离的必要，独处让重逢更珍贵。,The necessity of separation solitude makes reunion more precious.
ITEM_C2_007,双人成形碑文,It Takes Two Stele,Document,镜像区域的石碑，刻着关于合作与独立的文字。,A stele in the mirror area inscribed with words about cooperation and independence.,/Game/Art/Items/C2/Stele_ItTakesTwo.png,FALSE,TRUE,合作不是失去自我，而是保持自我的同时共同前进。,Cooperation is not losing oneself but moving forward together while maintaining oneself.
ITEM_C2_008,记忆碎片2,Memory Fragment 2,Key Item,四朵花融合形成的彩色水晶，承载着成长的记忆。,A colorful crystal formed by the fusion of four flowers carrying memories of growth.,/Game/Art/Items/C2/Crystal_Memory.png,TRUE,FALSE,成长需要多种元素：阳光、水分、时间、空间。,Growth needs multiple elements: sunlight water time and space.
ITEM_C2_009,红色花朵,Red Flower,Key Item,从破碎的镜子中浮现的红色花朵，代表你。,A red flower emerging from the broken mirror representing you.,/Game/Art/Items/C2/Flower_Red.png,TRUE,FALSE,独立的个体，红色代表热情与生命。,An independent individual red represents passion and life.
ITEM_C2_010,蓝色花朵,Blue Flower,Key Item,从时间之网中凝固的蓝色花朵，代表我。,A blue flower solidified from the web of time representing me.,/Game/Art/Items/C2/Flower_Blue.png,TRUE,FALSE,独立的个体，蓝色代表宁静与深度。,An independent individual blue represents tranquility and depth.
ITEM_C2_011,现在之符,Symbol of Present,Symbol,两朵交织的花，红蓝相间，代表现在。,Two intertwined flowers red and blue representing the present.,/Game/Art/Items/C2/Symbol_Present.png,TRUE,FALSE,两个独立的生命，但根紧紧缠绕。此刻的我们。,Two independent lives but roots tightly intertwined. Us at this moment.
