RowName,ItemID,ItemName,ItemNameEN,ItemDescription,ItemDescriptionEN,ItemIconPath,ItemModelPath,SymbolicMeaning,CanBeExamined,CanBeCombined,ItemType
1,Magnifier,放大镜,Magnifying Glass,"一个精致的黄铜放大镜,镜片清澈透明。用它可以看清那些被时间模糊的细节。","An exquisite brass magnifying glass with a clear lens. Use it to see details blurred by time.",/Game/Textures/Items/T_Item_Magnifier,/Game/Meshes/Items/SM_Magnifier,理性探索的工具,TRUE,FALSE,Tool
2,Jewel_Ring,卡地亚戒指,Cartier Ring,"一枚精美的卡地亚戒指,钻石在光下闪烁。它见证了承诺,但也囚禁了温度。","An exquisite Cartier ring, diamond sparkling in the light. It witnessed promises, but also imprisoned warmth.",/Game/Textures/Items/T_Item_Ring,/Game/Meshes/Items/SM_Ring,承诺的诅咒·凝固的爱,TRUE,FALSE,Key
3,Jewel_Necklace,卡地亚项链,Cartier Necklace,"一条华丽的卡地亚项链,宝石如星辰。它记录了拥抱,但也冻结了瞬间。","A gorgeous Cartier necklace, gems like stars. It recorded embraces, but also froze moments.",/Game/Textures/Items/T_Item_Necklace,/Game/Meshes/Items/SM_Necklace,拥抱的囚禁·定格的美,TRUE,FALSE,Key
4,Jewel_Crown,卡地亚王冠,Cartier Crown,"一顶奢华的卡地亚王冠,黄金与宝石交织。它象征荣耀,但也是美丽的枷锁。","A luxurious Cartier crown, gold and gems intertwined. It symbolizes glory, but is also beauty's shackle.",/Game/Textures/Items/T_Item_Crown,/Game/Meshes/Items/SM_Crown,荣耀的枷锁·变化的恐惧,TRUE,FALSE,Key
5,NoteFeather,音符羽毛,Note Feather,"一根由音符凝固而成的羽毛,半透明,发出柔和的光。它轻盈,但真实。","A feather formed from solidified musical notes, translucent and glowing softly. It's light, yet real.",/Game/Textures/Items/T_Item_NoteFeather,/Game/Meshes/Items/SM_NoteFeather,流动的永恒·音乐的结晶,TRUE,FALSE,Key
6,TruthFeather,真理之羽,Feather of Truth,"一根纯白的羽毛,来自木乃伊的祝福。它代表Ma'at的真理,代表心的轻盈。","A pure white feather, blessed by the mummy. It represents Ma'at's truth and the lightness of heart.",/Game/Textures/Items/T_Item_TruthFeather,/Game/Meshes/Items/SM_TruthFeather,真理的象征·轻盈的心,TRUE,FALSE,Key
7,PastSymbol,过去之符,Symbol of the Past,"一个乌鸦羽毛形状的炼金术符号,发出金色光芒。纹路中隐藏着珠宝、羽毛和音符的图案。","An alchemical symbol shaped like a crow feather, emitting golden light. Patterns of jewels, feathers and notes hidden in its lines.",/Game/Textures/Items/T_Item_PastSymbol,/Game/Meshes/Items/SM_PastSymbol,过去的记忆·珍藏而非凝固,TRUE,FALSE,QuestItem
8,AlchemistDiary,炼金术士日记,Alchemist's Diary,"一本皮革封面的日记,泛黄的纸页上记录着炼金术士的思考和领悟。","A leather-bound diary with yellowed pages recording the alchemist's thoughts and realizations.",/Game/Textures/Items/T_Item_Diary,/Game/Meshes/Items/SM_Diary,自我反思的记录,TRUE,FALSE,Document
9,ConcertPoster,演唱会海报,Concert Poster,"一张周传雄演唱会的海报,有些模糊。上面写着:2024年7月27日。","A poster for Jay Chou's concert, somewhat blurry. It reads: July 27, 2024.",/Game/Textures/Items/T_Item_Poster,/Game/Meshes/Items/SM_Poster,美好回忆的证明,TRUE,FALSE,Document
10,MummyNote,木乃伊纸条,Mummy's Note,"一张古老的纸条,用象形文字写着:将真实的心脏放入胸腔,灵魂将获得自由。","An ancient note written in hieroglyphs: Place the true heart in the chest, and the soul shall be free.",/Game/Textures/Items/T_Item_Note,/Game/Meshes/Items/SM_Note,永生的启示,TRUE,FALSE,Document
